[2026-06-25 15:32:59] close: 61767.26, RSI: 48.45, SMOOTHING: 39.23
[2026-06-25 15:33:59] close: 61740.01, RSI: 42.87, SMOOTHING: 39.92
[2026-06-25 15:34:59] close: 61733.99, RSI: 41.72, SMOOTHING: 40.64
[2026-06-25 15:35:59] close: 61719.19, RSI: 38.97, SMOOTHING: 41.00
[2026-06-25 15:36:59] close: 61733.75, RSI: 42.96, SMOOTHING: 41.40
[2026-06-25 15:37:59] close: 61714.01, RSI: 39.22, SMOOTHING: 41.82
[2026-06-25 15:38:59] close: 61725.96, RSI: 42.48, SMOOTHING: 42.60
[2026-06-25 15:39:59] close: 61738.99, RSI: 45.90, SMOOTHING: 43.80
[2026-06-25 15:40:59] close: 61735.82, RSI: 45.19, SMOOTHING: 44.27
[2026-06-25 15:41:59] close: 61738.01, RSI: 45.81, SMOOTHING: 44.63
[2026-06-25 15:42:59] close: 61738.01, RSI: 45.81, SMOOTHING: 44.22
[2026-06-25 15:43:59] close: 61740.64, RSI: 46.65, SMOOTHING: 43.95
[2026-06-25 15:44:59] close: 61757.19, RSI: 51.70, SMOOTHING: 44.65
[2026-06-25 15:45:59] close: 61750.0, RSI: 49.51, SMOOTHING: 44.80
[2026-06-25 15:46:59] close: 61775.47, RSI: 56.54, SMOOTHING: 45.38
[2026-06-25 15:47:59] close: 61771.75, RSI: 55.33, SMOOTHING: 46.27
[2026-06-25 15:48:59] close: 61776.0, RSI: 56.48, SMOOTHING: 47.32
[2026-06-25 15:49:59] close: 61789.99, RSI: 60.11, SMOOTHING: 48.83
[2026-06-25 15:50:59] close: 61789.99, RSI: 60.11, SMOOTHING: 50.06
[2026-06-25 15:51:59] close: 61800.97, RSI: 62.93, SMOOTHING: 51.75
[2026-06-25 15:52:59] close: 61789.26, RSI: 58.21, SMOOTHING: 52.88
[2026-06-25 15:53:59] close: 61779.99, RSI: 54.71, SMOOTHING: 53.51
[2026-06-25 15:54:59] close: 61770.92, RSI: 51.45, SMOOTHING: 53.95
[2026-06-25 15:55:59] close: 61770.93, RSI: 51.45, SMOOTHING: 54.36
[2026-06-25 15:56:59] close: 61740.52, RSI: 41.77, SMOOTHING: 54.07
[2026-06-25 15:57:59] close: 61697.32, RSI: 32.44, SMOOTHING: 53.05
